handle,month,tweet_count
Alice_Weidel,12/2020,1
Alice_Weidel,11/2020,3
Alice_Weidel,10/2020,8
Alice_Weidel,09/2020,6
Alice_Weidel,08/2020,6
Alice_Weidel,07/2020,7
Alice_Weidel,06/2020,6
Alice_Weidel,05/2020,1
Alice_Weidel,04/2020,1
Alice_Weidel,03/2020,9
Alice_Weidel,02/2020,5
Alice_Weidel,01/2020,5
Alice_Weidel,12/2019,3
Alice_Weidel,11/2019,17
Alice_Weidel,10/2019,6
Alice_Weidel,09/2019,9
Alice_Weidel,08/2019,9
Alice_Weidel,07/2019,11
Alice_Weidel,06/2019,7
Alice_Weidel,05/2019,5
Alice_Weidel,04/2019,5
Alice_Weidel,03/2019,11
Alice_Weidel,02/2019,10
Alice_Weidel,01/2019,10
Alice_Weidel,12/2018,11
Alice_Weidel,11/2018,23
Alice_Weidel,10/2018,14
Alice_Weidel,09/2018,12
Alice_Weidel,08/2018,19
Alice_Weidel,07/2018,17
Alice_Weidel,06/2018,17
Alice_Weidel,05/2018,16
Alice_Weidel,04/2018,13
Alice_Weidel,03/2018,17
Alice_Weidel,02/2018,18
Alice_Weidel,01/2018,19
Alice_Weidel,12/2017,7
Alice_Weidel,11/2017,11
Alice_Weidel,10/2017,10
Alice_Weidel,09/2017,13
Alice_Weidel,08/2017,14
Alice_Weidel,07/2017,2
Alice_Weidel,06/2017,2
Alice_Weidel,05/2017,4
Alice_Weidel,04/2017,1
BerndLucke,05/2019,9
BerndLucke,04/2019,3
BerndLucke,03/2019,3
BerndLucke,02/2019,3
BerndLucke,01/2019,3
BerndLucke,12/2018,1
BerndLucke,09/2018,2
BerndLucke,07/2018,1
BerndLucke,06/2018,2
BerndLucke,05/2018,1
BerndLucke,03/2018,2
BerndLucke,12/2017,1
BerndLucke,11/2017,2
BerndLucke,09/2017,1
BerndLucke,08/2017,16
BerndLucke,07/2017,9
BerndLucke,06/2017,1
BerndLucke,05/2017,2
BerndLucke,04/2017,3
BerndLucke,03/2017,2
BerndLucke,02/2017,2
BerndLucke,01/2017,1
PoggenburgAndre,11/2020,12
PoggenburgAndre,10/2020,8
PoggenburgAndre,09/2020,13
PoggenburgAndre,08/2020,2
PoggenburgAndre,07/2020,4
PoggenburgAndre,06/2020,6
PoggenburgAndre,05/2020,3
PoggenburgAndre,04/2020,10
PoggenburgAndre,03/2020,18
PoggenburgAndre,02/2020,13
PoggenburgAndre,01/2020,12
PoggenburgAndre,12/2019,15
PoggenburgAndre,11/2019,2
PoggenburgAndre,10/2019,19
PoggenburgAndre,09/2019,29
PoggenburgAndre,08/2019,14
PoggenburgAndre,07/2019,22
PoggenburgAndre,06/2019,8
PoggenburgAndre,05/2019,7
PoggenburgAndre,04/2019,12
PoggenburgAndre,03/2019,7
PoggenburgAndre,02/2019,3
PoggenburgAndre,01/2019,2
PoggenburgAndre,12/2018,9
PoggenburgAndre,11/2018,32
PoggenburgAndre,10/2018,22
PoggenburgAndre,09/2018,8
PoggenburgAndre,08/2018,19
PoggenburgAndre,07/2018,44
PoggenburgAndre,06/2018,21
PoggenburgAndre,05/2018,29
PoggenburgAndre,04/2018,20
PoggenburgAndre,03/2018,20
PoggenburgAndre,02/2018,8
PoggenburgAndre,01/2018,14
PoggenburgAndre,12/2017,21
PoggenburgAndre,11/2017,17
PoggenburgAndre,10/2017,8
PoggenburgAndre,09/2017,7
PoggenburgAndre,08/2017,1
PoggenburgAndre,07/2017,2
PoggenburgAndre,06/2017,1
PoggenburgAndre,04/2017,1
PoggenburgAndre,03/2017,1
PoggenburgAndre,02/2017,3
PoggenburgAndre,01/2017,1
PoggenburgAndre,12/2016,3
PoggenburgAndre,11/2016,2
PoggenburgAndre,10/2016,1
PoggenburgAndre,09/2016,3
PoggenburgAndre,07/2016,3
PoggenburgAndre,05/2016,2
PoggenburgAndre,02/2016,1
PoggenburgAndre,01/2016,2
PoggenburgAndre,11/2015,1
